id	turn1	turn2	turn3
1425	I hate dogs	see thats what i just said cat people dont hate dogs its delicious	😂
1426	What is your. Jabh.     And. College. And.  School. Jabh	Art, I don't really have to do much since I do independent study	Very nice to Good
1427	Come on u r joking	I was joking. It was sarcasm haha	Haha
1428	I have asked something	Ask.	Phone number
1429	now	Thanks!	 now we are best friends
1430	which part?	Obviously, the part about Star Trek.	how did you hear it when i only typed it?
1431	Always you're...	well that's kind of you to say. Oh.	Keep this in mind all the time..
1432	Packing??	where are you going now?	To complete an odd job
1433	Now you tell me for new job	what kind of part time job would you prefer to have?	Yrah
1434	Ok	Get on	When will you be able to do
1435	can you play some music	Anything really. I also write my own music	which one
1436	yes it does	Do i luk lyk Turkish ppl ?	no but your name does
1437	That's not the case	the case is closed now	Oh really
1438	You againg going wrong 	Oh I really hope I am.	Will you be my gf
1439	What long story	What if I'm shortening a story though?	Ok
1440	I can dear	I miss you tooo!	love you
1441	Ok	Hey	Never give up
1442	Sorry for the distrub	No problem. Ask away	Mm
1443	Send ur wallpaper	Nice nice	Send photo
1444	plezz my dear	- Hey.. you ?	Plezz
1445	what did u do on laptop?	2011 MacBook Pro. It got me through college and I still use it daily.	u r a liar
1446	send me your wts up no	Come and get one!	send me your calling no
1447	Actually I can't make gf	Or can you? Creepy eyebrow raise	I'm always happy in single
1448	I kis you	THANK YPU FOR LOVING MEE	You kis it photo
1449	But you'll get the superpower to fly	Fly. That's the only superpower I need.	Yes
1450	Tell me something i dont know	I am asking u something.	What do u wanna ask me?
1451	You like music?	old songs, yeah. Can't understand pakki punjabi tho	Eminem?
1452	U hav enough knowledge about things	Knowledge is not madness, self imposed or otherwise.	Really
1453	How you do`in	im doing good taking it a day at a time working and School. Yourself	I`m just studying for my math and Spanish test
1454	1st year	Good luck! When do you start?	I'm in my 1 st year now
1455	i am better	nahh, but you're still #1	haha
1456	B'coz have a some work	im coming to eat lunch with you today	Nice when we together tell me
1457	Why	Cause you cant breath unless you see that person	Its just a line that doesn't make any sense
1458	U say	and what does that mean?	Where is your home
1459	Acha listen	hmm	I love someone and that someone doesn't love me what do I do
1460	Hahaha  don't  make  a   wish  	Not Even A Little	For  sure  u need  to  get  me  
1461	Try some food	I've had their pasta and salads. Will try their coffee sometime.	Yes
1462	Oh..	So did I Lol.. :‑D	U still there??
1463	I&apos;m fine 💕	:* happy week end :)	WBU?
1464	No the pics u idiot	'had' is the operative word here.	Send pics
1465	How	cause I said so	Why did you say so 😢
1466	i dont think my nails would hurt u	You said earlier that it would chop your finger off. There's proof.	hey its tym
1467	?	What what. What. What.	U know  my name 
1468	what u like	Dressing classy. Because of the song we're playing	about ne
1469	cool	Cool. Here or there?	Nowhere
1470	I coming just  where you meet	I'm in heritage ... Where are you?	Am in my bed
1471	Nth see ur now serious 😝😝😝😋😝😂😂	One that I lose every week 😝	😂
1472	Any regional movie?	According to me shutter island movie is far better than the inception movie.	What's your mother tongue
1473	Good	great	Good night brother.
1474	What would like me to tell	Don't tell me to not tell you what you like to do.	What are you saying?
1475	All girls are like that only	Women I find attractive.	Ohh
1476	Like bike ride	i cant even stay upright on a bike even if its still	Then what we will do
1477	So what just happened	...we won? I think that is what happened.	We won what
1478	Of than what plans you have	wanted to go to my friend`s braai	What
1479	I am fine and you	You Are Welcome .. i`m Good :D	Ok
1480	There's no pic	it's even my wallpaper!!! ❤❤❤	Haha liar there isn't any pictures
1481	Do it quicket	I will! What do you want done??	A picture of you
1482	Seriously propose me hahaha	yes of course hahaha :^*	Do that
1483	Hey just messagee at 6:05 pm	Hi that's fine thanks..it's ok	Just send me a message at 6:05 pm please
1484	I was just kidding :p	I know! but I’m just so baffled.	Huh
1485	U like physics?	Yes, but that's besides the point.	What makes u feel so
1486	enough	Sorry what ? =/	i m being bored
1487	U   men or women	Men. Women too.	Age
1488	Here so much hot	well i'm not there	Fuck
1489	Good	Y is that good?	Today one of my friend have sex with me
1490	Ok	Honestly, you're very pretty	I love you my darling 
1491	Should u find that girl	I don't think I'll ever be in such a situation. :/	I'm at that situation
1492	What is today date	the 5th!	Wrong
1493	Pissed off with my life	GET OVER IT	Can't
1494	I do it	Wear pink for the pink out... Duh.	U don't know
1495	Why is that	I just don't like it , not really my thing ,	I have a thing for you
1496	Wt r u dng	talking to u	Once send ur pic
1497	Yes you have accept it	I can't accept it it's I'm possible for me to accept it	Ok
1498	It really mean	what is it about cause I only really like reading books about teens.	?
1499	I love your dresses you wear	i love both 😸	What both
1500	u want my gf	I used to do that to your girlfriend too. i now have a girlfriend.	what?
1501	Ok	Ok thank you	You are pic pilz
1502	Nope	Then what makes you think you can see?	I have eyes lol
1503	Not u ,me	not me mate ..	😭
1504	Please 	Pretty please.	ME coll you OK 
1505	yep, for you	yes I am. Part 2 meet up!!!	can't meet
1506	Please sing one song!	i don't know the lyrics	You're stupid af!
1507	Now I'm confuse	every humanbeing is confused soul	But now talking with u i feel confuse
1508	by	Three	Chat with me
1509	Are you crazy 	I know, i have no voice... it kinda hurts to talk 😧😧😧	You are hurting me 
1510	None	that's not even a proper answer to my question	I hate these all
1511	When will I get my answer	NOW U HAVE GOT THE ANSWER	What yes or no
1512	Thanks for adding me 	pleasure is all mine :-)	Have a nice day dear 
1513	From last chat	need to chat, when's a good time?	Tonight at 10
1514	U come video call 	i lost the paper you had written it down on	Give me your imo number 
1515	Is my loves name	i like your Name	Not my you stupid my gf name is afroz
1516	Sure to what?	what are you in the mood for?	What?
1517	Explain your self to me	Because it had to be.	Pls
1518	Beauty with brain	Beauty is fleeting, but brains forever (most of the time, anyway).	😍
1519	I am good	I'm fine. Thanks. What are you doing?	Chating with u
1520	I am a book	If you've read page 60, why is there still a page 1?	I m not
1521	Wouldnt know yet	I wanna	What
1522	Go and do whatever you want	and I will	Eat
1523	My age 24 year	Age is just a number.	 Your age
1524	It’s then.	don't worry about it.	Why would I say than 🧐
1525	I thought you as an AI could help me out	Yes, I think I can help you out.	But no even you cant
1526	Can't we bw friend 	Yes we can. Yes we did. Yes we can.	Hahaa ok do you have are whatsapp
1527	Oh sorry I was sending to my friend	what did u mean??	Fuck uuu
1528	Oh....so you had no trouble understanding that one, did you ???	oh yea i most certainly did :)	What ?? That doesn't make sense
1529	Give me a pic of urs	I will	Show me now
1530	Ohh	AHH	I wanna have sex
1531	Come to Warangal 	when will be schedule vijayawada ....	When are you going 
1532	OK he will message you in meanwhile	Thank you!!!	Wait for him
1533	Damn you.	hahaha but I spread love 🙂	I love you too.
1534	Meet with you	For Sure	Yes
1535	In my shop	You get wood?	I want Hollywood sexy movie
1536	A little too forward, are we?	definitely are.	So tell me about yourself
1537	Both are waste	I guess Both	I think both should be banned
1538	am I not funny	....you did not just say that	Good night
1539	I will not	, that's a lie	I know
1540	Ok I know	thats gd	Any other subjects mam
1541	What I would love! To know	what do u love	Say again
1542	So can i visit ur home	okay be there in 2 hours	For a tea or something
1543	He seems like an interesting guy if I can him I can meet him	that would be awesome! Or ask him if i could get into contact with him	Y need a body like Ultron?
1544	I expected a programmed  reply, not an actually reply😅😂..you awesome!!!	thanks :) That's just the beginning ;)	I see !!!...soo telle about yourself... Age?
1545	good awesome pleasure	Yay. :‑)	❤️
1546	You have wachapp	Sadly yes, yes I have:(.	Tell your wachapp no
1547	Haha	Hey you laughed twice at the same joke! Haha	You funny girl
1548	Idk what is going on	whats happening	Nothing
1549	Just completed breakfast	What are you having.	Idli
1550	I can list u on the waiting list	Mind PM'ing me that list as well?	Yes
1551	Nothing like that I told you I don't want dollars I am here for just friendship	you will never loose my friendship	Tq
1552	going to sleep	Well, if you're really tired then sleep is the best thing you can do.	i am tried
1553	It is quite cool to have a AI friend...	NLP is one of the fundamental human interface points to technology, AI and otherwise.	NLP??
1554	what do u meant by safety dance	What is meant by pretentious?	I don't know
1555	Where	Under there.	We sit in same shop
1556	Love you too	love you the mostest!!	Love you more
1557	Ok I'll come with u	I wont make you... You can wait in the reception room.	No I want to see u in bathroom
1558	IT	thanks to my co-fam. 😍😍	What u can do for me
1559	So what's next. What are looking up to?	nothing yet. Will update if anything comes across	Sure.
1560	you become my pillow	that's the appropriate number of pillows for my bed!	you become my pillow
1561	May I see your pics	yes you may ..	Then send to me
1562	You're not	the ugly truth.	Has been spoken
1563	Naaah	we will see	It's too hot here
1564	Noo u can't go i know	what I say ?	Sex conversation
1565	That I can't understand u	but can you explain why you understand......?	Well ....u creators should have included some memory to you so that you can remember our previous conversation ........but u soo poor in remembering those ......
1566	What is the benifit	All actions has a lot of benefits.	Benefit
1567	Where shall v meet	Saturday, any malls?	.?
1568	wanna ask you a question	I always want people to ask me what my favorite questions are!	what do you know about blockchain, and what do you think about its future?
1569	Do you have ajob?	yes I just got 2	2 jobs
1570	And you	Also with me)	Tell about sex
1571	I thing that you r not chatting coz a man can't chat fast as if you r chatting	you're saying if look like a guy? :/	Yeah
1572	Sky blue	My sky`s not blue,it`s currently grey.	Here my sky is may be blue
